No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,propiedades de la radicación,8100,1,4434,22,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
2,binomio cuadrado,4400,1,1511,25,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
3,armar cubo rubik,3600,1,1334,35,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
4,binomio cuadrado perfecto,2900,1,933,13,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
5,curso de programación,1900,1,652,25,http://platzi.com/cursos/programacion-basica/
6,cursos de programacion,1900,1,652,23,http://platzi.com/cursos/programacion-basica/
7,platzi cursos,1900,1,642,26,http://platzi.com/
8,cursos de programador,1900,1,605,31,http://platzi.com/cursos/programacion-basica/
9,has y have,1900,1,589,14,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
10,curso de programador,1900,1,589,21,http://platzi.com/cursos/programacion-basica/
11,propiedades de las potencias,1600,1,519,29,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
12,pasos para armar un cubo rubik,1600,1,519,40,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
13,pasos para armar el cubo rubik,1600,1,519,35,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
14,pasos para armar un cubo rubik 3x3,1300,1,473,31,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
15,propiedades matemáticas,1000,1,464,18,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
16,platzi conf,880,1,444,4,http://platzi.com/cursos/platziconfbogota2024/
17,cursos gratis de programacion,1300,1,427,30,http://platzi.com/cursos/programacion-basica/
18,curso de python,1000,1,416,38,http://platzi.com/cursos/python/
19,curso inteligencia artificial,1000,1,416,40,http://platzi.com/cursos/introduccion-ai/
20,curso python,1000,1,412,28,http://platzi.com/cursos/python/
21,curso de programacion gratis,1300,1,401,23,http://platzi.com/cursos/programacion-basica/
22,propiedad de la radicación,1600,1,396,3,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
23,ddl,1000,1,369,33,http://platzi.com/tutoriales/50-sql-mysql-2016/1564-que-es-ddl-dml-dcl-y-tcl-integridad-referencial/
24,propiedad matemática,1000,1,358,18,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
25,propiedades de potencias,1000,1,358,29,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
26,have o has,1000,1,358,13,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
27,propiedades en matematicas,1000,1,358,19,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
28,ángulo de cámara,1000,1,358,13,http://platzi.com/blog/angulos-camara-cine-fotografia/
29,angulos de camara,1000,1,358,14,http://platzi.com/blog/angulos-camara-cine-fotografia/
30,propiedad radicacion,720,1,357,31,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
31,potencia y radicacion,1300,1,344,13,http://platzi.com/clases/1449-algebra/16201-leyes-de-los-exponentes-potencia-de-una-potencia-y/
32,ejemplos de radicación,1300,1,344,26,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
33,propiedades radicacion,720,1,336,1,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
34,radicación propiedades,720,1,336,18,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
35,algoritmo cubo rubik,880,1,314,37,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
36,inteligencia artificial curso,1000,1,306,39,http://platzi.com/cursos/introduccion-ai/
37,mocks,880,1,300,31,http://platzi.com/discusiones/1437-express-js/128662-que-son-los-mocks/
38,platzi curso gratis,880,1,278,21,http://platzi.com/blog/cursos-gratis/
39,platzi cursos gratis,880,1,278,18,http://platzi.com/blog/cursos-gratis/
40,has o have,1000,1,260,13,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
41,platzi precios,590,1,259,28,http://platzi.com/precios/
42,estudiar programación,480,1,254,41,http://platzi.com/tutoriales/3208-programacion-basica/24458-donde-estudiar-programacion-en-colombia/
43,estudiar programacion,480,1,254,41,http://platzi.com/tutoriales/3208-programacion-basica/24458-donde-estudiar-programacion-en-colombia/
44,curso programación,590,1,253,10,http://platzi.com/cursos/programacion-basica/
45,curso programacion,590,1,252,21,http://platzi.com/cursos/programacion-basica/
46,radicacion y propiedades,720,1,251,13,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
47,has en inglés,720,1,251,13,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
48,curso de inteligencia artificial,720,1,251,12,http://platzi.com/cursos/introduccion-ai/
49,cursos en línea,480,1,250,61,http://platzi.com/cursos/
50,propiedades en matemáticas,1000,1,250,13,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
